State,A,B,C,D,E,F,G
CA,100055,77526,9918,2155,1204,771,407
GA,49065,105720,13460,550,110,36,13
TX,18162,91921,25503,3785,1781,799,238
NC,40184,62650,7927,485,142,38,8
FL,20348,51062,15416,2060,1035,407,125
SC,13736,56395,10727,455,86,15,0
NY,46929,33268,610,40,14,2,0
MS,6146,49659,22190,1250,231,43,3
AZ,44113,23530,3907,857,608,425,183
AL,8635,38847,17872,1050,217,32,0
OR,44868,14241,2139,642,421,359,261
MN,14294,24956,4476,733,331,129,25
OK,4255,24417,10993,2062,1112,431,82
MT,24193,13390,2705,706,531,387,230
NM,18155,14372,3584,935,716,498,242
ID,21658,10787,2650,1087,829,726,409
CO,24936,7621,1407,367,278,163,68
WA,20109,10963,1715,410,279,243,156
WI,18312,12406,1110,56,23,6,0
AR,974,21922,8388,504,129,28,3
TN,4988,19471,5870,622,151,46,0
SD,14217,11876,3620,774,461,204,57
UT,19374,8146,2126,577,462,360,144
LA,3219,19681,6485,513,165,75,15
KY,1004,15172,9076,1398,482,112,1
NJ,17902,7526,432,36,29,14,3
PR,1705,17625,2543,148,46,8,0
WV,6455,10626,3713,796,309,78,0
VA,6210,13018,2205,263,118,42,5
MO,976,11246,5071,801,206,26,0
NV,9430,4580,1520,488,418,408,298
ND,2356,10605,1788,284,131,55,9
WY,6480,5595,1465,377,273,215,95
ME,7472,5385,260,23,4,0,0
AK,6653,3394,1045,348,378,412,649
MI,3349,6208,943,56,21,7,5
HI,6919,2430,333,77,74,47,8
PA,3246,4766,634,37,22,3,0
NE,1996,4025,1462,270,134,66,34
KS,2964,2642,1505,252,154,120,41
CT,2679,2112,167,12,0,0,0
IA,393,2600,1002,103,26,4,0
MD,1721,1562,211,65,45,12,0
OH,717,2386,331,33,6,1,0
MA,1846,726,39,6,4,0,0
NH,797,1613,37,3,0,0,0
IL,641,1306,358,30,4,1,0
IN,920,979,183,26,9,0,0
RI,215,252,10,0,0,0,0
VT,165,266,19,2,0,0,0
DE,66,84,11,3,0,1,0
DC,42,22,0,0,0,0,0